datetime,impact.level,sum.of.downtime.hours,users.impacted,App.A,App.B,App.C,App.D,App.E,platform,company.accountability,summary,resolution,root.cause,transformed_downtime_hours,new_impact_level
2023-12-20 00:00:00,2,2.2442910987828157,137,1,1,1,1,1,1,1,Minor performance issues detected. Issue primarily affected desktop users.,Rebooted affected servers and monitored performance. Ensured desktop application stability.,Routine maintenance caused minor disruptions.,1.8082887711792652,0
2023-12-22 00:00:00,2,2.2780594984029414,105,1,1,1,1,1,2,1,Minor performance issues detected. Issue primarily affected mobile users.,Rebooted affected servers and monitored performance. Ensured mobile application stability.,Routine maintenance caused minor disruptions.,1.8245492920510455,0
2023-08-04 05:00:00,1,2.28300375263948,60,0,1,1,1,1,2,0,Significant downtime affecting multiple services. Issue primarily affected mobile users.,Coordinated with multiple teams to restore services. Ensured mobile application stability.,Critical component failure in data center.,1.5686159179138452,0
2023-09-19 02:00:00,3,2.2934785615818183,198,1,1,0,1,1,1,1,Significant downtime affecting multiple services. Issue primarily affected desktop users.,Coordinated with multiple teams to restore services. Ensured desktop application stability.,Critical component failure in data center.,1.7749523509116738,0
2023-12-25 16:00:00,2,2.4135820305760123,113,1,0,1,0,0,0,1,Service interruption due to unexpected load. Issue primarily affected API endpoints.,Scaled up resources and mitigated load. Ensured API service stability.,Sudden spike in user activity overwhelmed the system.,1.410986973710262,0
2023-09-26 00:00:00,1,2.4165633047457047,74,1,1,1,1,1,2,0,Major outage impacting all users. Issue primarily affected mobile users.,Executed disaster recovery protocols and restored service. Ensured mobile application stability.,Natural disaster led to prolonged service outage.,1.8245492920510455,0
2023-11-30 23:00:00,0,2.425545711985682,46,1,1,1,0,1,0,0,Minor performance issues detected. Issue primarily affected API endpoints.,Rebooted affected servers and monitored performance. Ensured API service stability.,Routine maintenance caused minor disruptions.,1.3609765531356006,0
2023-10-20 16:00:00,1,2.467107278014877,56,1,0,1,0,0,2,0,Service interruption due to unexpected load. Issue primarily affected mobile users.,Scaled up resources and mitigated load. Ensured mobile application stability.,Sudden spike in user activity overwhelmed the system.,1.7749523509116738,0
2023-04-07 00:00:00,1,2.4979966856024625,22,1,0,0,0,0,2,0,Minor performance issues detected. Issue primarily affected mobile users.,Rebooted affected servers and monitored performance. Ensured mobile application stability.,Routine maintenance caused minor disruptions.,1.2237754316221157,0
2023-03-10 00:00:00,1,2.5576052141794605,79,1,0,1,1,1,2,0,Minor performance issues detected. Issue primarily affected mobile users.,Rebooted affected servers and monitored performance. Ensured mobile application stability.,Routine maintenance caused minor disruptions.,1.7047480922384253,0
2023-09-25 00:00:00,0,2.5775517455714385,56,1,1,1,1,1,0,0,Minor performance issues detected. Issue primarily affected API endpoints.,Rebooted affected servers and monitored performance. Ensured API service stability.,Routine maintenance caused minor disruptions.,1.308332819650179,0
2023-10-04 05:00:00,1,2.586376217198677,69,1,1,1,1,0,2,0,Significant downtime affecting multiple services. Issue primarily affected mobile users.,Coordinated with multiple teams to restore services. Ensured mobile application stability.,Critical component failure in data center.,1.7404661748405044,0
2023-03-14 00:00:00,1,2.5998133367625176,71,1,0,0,1,1,1,0,Minor performance issues detected. Issue primarily affected desktop users.,Rebooted affected servers and monitored performance. Ensured desktop application stability.,Routine maintenance caused minor disruptions.,1.8718021769015916,0
2023-06-24 14:00:00,2,2.611942674715194,119,1,0,1,1,1,2,1,Minor performance issues detected. Issue primarily affected mobile users.,Rebooted affected servers and monitored performance. Ensured mobile application stability.,Routine maintenance caused minor disruptions.,1.6486586255873816,0
2023-08-05 00:00:00,0,2.6219557684964627,51,1,0,1,1,1,0,0,Minor performance issues detected. Issue primarily affected API endpoints.,Rebooted affected servers and monitored performance. Ensured API service stability.,Routine maintenance caused minor disruptions.,1.410986973710262,0
2023-09-29 00:00:00,0,2.63828842832407,56,1,1,1,1,1,2,0,Minor performance issues detected. Issue primarily affected mobile users.,Rebooted affected servers and monitored performance. Ensured mobile application stability.,Routine maintenance caused minor disruptions.,1.5686159179138452,0
2023-09-24 01:00:00,2,2.6609865786062827,79,1,1,0,0,0,2,0,Service interruption due to unexpected load. Issue primarily affected mobile users.,Scaled up resources and mitigated load. Ensured mobile application stability.,Sudden spike in user activity overwhelmed the system.,1.62924053973028,0
2023-11-27 11:00:00,0,2.666827867591561,5,0,0,0,0,1,2,0,Service interruption due to unexpected load. Issue primarily affected mobile users.,Scaled up resources and mitigated load. Ensured mobile application stability.,Sudden spike in user activity overwhelmed the system.,0.7419373447293773,0
2023-07-28 23:00:00,1,2.6716700872126444,71,1,1,1,1,1,2,0,Minor performance issues detected. Issue primarily affected mobile users.,Rebooted affected servers and monitored performance. Ensured mobile application stability.,Routine maintenance caused minor disruptions.,1.8718021769015916,0
2023-04-28 13:00:00,1,2.6725295340002466,37,0,0,1,0,0,0,0,Minor performance issues detected. Issue primarily affected API endpoints.,Rebooted affected servers and monitored performance. Ensured API service stability.,Routine maintenance caused minor disruptions.,1.6863989535702286,0
2023-10-07 06:00:00,1,2.6819589113477638,43,0,0,1,1,0,2,0,Service interruption due to unexpected load. Issue primarily affected mobile users.,Scaled up resources and mitigated load. Ensured mobile application stability.,Sudden spike in user activity overwhelmed the system.,1.547562508716013,0
2023-09-25 00:00:00,1,2.7280066510245,72,1,1,1,1,1,1,0,Significant downtime affecting multiple services. Issue primarily affected desktop users.,Coordinated with multiple teams to restore services. Ensured desktop application stability.,Critical component failure in data center.,1.916922612182061,0
2023-09-16 00:00:00,0,2.73661560907298,25,1,0,1,0,0,1,0,Minor performance issues detected. Issue primarily affected desktop users.,Rebooted affected servers and monitored performance. Ensured desktop application stability.,Routine maintenance caused minor disruptions.,1.2809338454620645,0
2023-03-28 00:00:00,3,2.740451950957608,183,1,0,1,0,0,1,1,Service interruption due to unexpected load. Issue primarily affected desktop users.,Scaled up resources and mitigated load. Ensured desktop application stability.,Sudden spike in user activity overwhelmed the system.,1.7404661748405044,0
2024-01-03 15:00:00,2,2.740786281431528,88,0,0,1,0,0,0,0,Minor performance issues detected. Issue primarily affected API endpoints.,Rebooted affected servers and monitored performance. Ensured API service stability.,Routine maintenance caused minor disruptions.,1.7047480922384253,0
2023-11-03 13:00:00,2,2.750070431092058,112,1,1,1,1,1,1,1,Significant downtime affecting multiple services. Issue primarily affected desktop users.,Coordinated with multiple teams to restore services. Ensured desktop application stability.,Critical component failure in data center.,1.547562508716013,0
2023-12-30 17:00:00,1,2.7630020689889103,83,1,1,1,1,0,2,0,Service interruption due to unexpected load. Issue primarily affected mobile users.,Scaled up resources and mitigated load. Ensured mobile application stability.,Sudden spike in user activity overwhelmed the system.,1.9021075263969205,0
2023-10-23 09:00:00,1,2.7681554520224347,74,1,1,1,1,1,1,0,Minor performance issues detected. Issue primarily affected desktop users.,Rebooted affected servers and monitored performance. Ensured desktop application stability.,Routine maintenance caused minor disruptions.,1.308332819650179,0
2023-03-15 00:00:00,1,2.7728884449847064,65,0,1,1,0,1,1,0,Minor performance issues detected. Issue primarily affected desktop users.,Rebooted affected servers and monitored performance. Ensured desktop application stability.,Routine maintenance caused minor disruptions.,1.8718021769015916,0
2023-07-05 01:00:00,3,2.7872320692998565,187,0,0,0,1,1,2,1,Significant downtime affecting multiple services. Issue primarily affected mobile users.,Coordinated with multiple teams to restore services. Ensured mobile application stability.,Critical component failure in data center.,2.1162555148025524,0
2023-12-27 00:00:00,1,2.7901915482532917,28,0,0,0,0,1,1,0,Service interruption due to unexpected load. Issue primarily affected desktop users.,Scaled up resources and mitigated load. Ensured desktop application stability.,Sudden spike in user activity overwhelmed the system.,1.667706820558076,0
